velocity,moving1,heartrate,grade,lat,lon
8.20E+00,0.00E+00,1.40E+02,-5.50E+00,4.44E+01,8.97E+00
1.10E+01,0.00E+00,1.42E+02,-5.50E+00,4.44E+01,8.93E+00
1.19E+01,1.17E+02,1.53E+02,-5.50E+00,4.44E+01,8.91E+00
1.13E+01,0.00E+00,1.25E+02,-5.50E+00,4.44E+01,8.90E+00
7.00E+00,0.00E+00,1.42E+02,-5.50E+00,4.44E+01,8.83E+00
3.40E+00,0.00E+00,1.12E+02,-5.50E+00,4.44E+01,8.69E+00
1.38E+01,0.00E+00,1.46E+02,-5.50E+00,4.44E+01,8.60E+00
1.44E+01,9.50E+01,1.41E+02,-5.50E+00,4.44E+01,8.60E+00
1.51E+01,0.00E+00,1.41E+02,-5.50E+00,4.44E+01,8.59E+00
1.54E+01,0.00E+00,1.36E+02,-5.50E+00,4.44E+01,8.59E+00
1.55E+01,0.00E+00,1.34E+02,-5.50E+00,4.44E+01,8.59E+00
1.55E+01,0.00E+00,1.33E+02,-5.50E+00,4.44E+01,8.59E+00
1.56E+01,0.00E+00,1.26E+02,-5.50E+00,4.44E+01,8.59E+00
8.90E+00,9.50E+01,1.59E+02,-5.50E+00,4.43E+01,8.51E+00
8.80E+00,8.90E+01,1.34E+02,-5.40E+00,4.44E+01,8.95E+00
3.70E+00,0.00E+00,1.40E+02,-5.40E+00,4.44E+01,8.83E+00
1.78E+01,0.00E+00,1.24E+02,-5.40E+00,4.44E+01,8.67E+00
1.02E+01,0.00E+00,1.57E+02,-5.40E+00,4.44E+01,8.60E+00
1.20E+01,0.00E+00,1.53E+02,-5.40E+00,4.44E+01,8.60E+00
1.11E+01,8.80E+01,1.51E+02,-5.40E+00,4.44E+01,8.60E+00
9.70E+00,1.06E+02,1.43E+02,-5.40E+00,4.43E+01,8.56E+00
9.00E+00,7.20E+01,1.75E+02,-5.40E+00,4.43E+01,8.48E+00
3.70E+00,0.00E+00,1.47E+02,-5.40E+00,4.43E+01,8.46E+00
2.20E+00,0.00E+00,1.53E+02,-5.30E+00,4.44E+01,8.93E+00
7.90E+00,0.00E+00,1.38E+02,-5.30E+00,4.44E+01,8.92E+00
6.80E+00,0.00E+00,1.44E+02,-5.30E+00,4.44E+01,8.84E+00
1.17E+01,0.00E+00,1.49E+02,-5.30E+00,4.44E+01,8.66E+00
1.78E+01,0.00E+00,1.21E+02,-5.30E+00,4.44E+01,8.67E+00
8.00E+00,0.00E+00,1.51E+02,-5.30E+00,4.44E+01,8.63E+00
1.11E+01,0.00E+00,1.25E+02,-5.30E+00,4.44E+01,8.63E+00
1.18E+01,0.00E+00,1.17E+02,-5.30E+00,4.44E+01,8.63E+00
1.04E+01,0.00E+00,1.06E+02,-5.30E+00,4.44E+01,8.62E+00
1.02E+01,0.00E+00,1.56E+02,-5.30E+00,4.44E+01,8.60E+00
1.49E+01,0.00E+00,1.41E+02,-5.30E+00,4.44E+01,8.59E+00
9.80E+00,1.08E+02,1.45E+02,-5.30E+00,4.43E+01,8.56E+00
1.01E+01,9.30E+01,1.70E+02,-5.30E+00,4.43E+01,8.56E+00
6.90E+00,0.00E+00,1.57E+02,-5.30E+00,4.43E+01,8.46E+00
9.60E+00,1.02E+02,1.36E+02,-5.20E+00,4.44E+01,8.95E+00
8.90E+00,9.10E+01,1.35E+02,-5.20E+00,4.44E+01,8.95E+00
7.00E+00,7.60E+01,1.33E+02,-5.20E+00,4.44E+01,8.95E+00
9.60E+00,0.00E+00,1.48E+02,-5.20E+00,4.44E+01,8.76E+00
